Identifiant	Nom du fichier	Analyse du texte	Notions du programme de philosophie
359	KANT_Traité-pédagogie_Introduction_Extraits	Titre: L’humanisation par l’Éducation. Thèse: L'éducation forme l'homme en développant ses dispositions naturelles. Résumé: L'homme n'est homme que par l'éducation (soins, discipline, culture). La discipline est négative (empêche la sauvagerie), la culture est positive (instruction, habileté, prudence). L'éducation doit viser l'idéal de l'humanité pour les générations futures et concilier contrainte et liberté.	Le devoir, La liberté, La nature, La raison
360	KLEIN-Naomi_Capitalisme&Climat	Titre: La contradiction entre le capitalisme et le climat. Thèse: La croissance illimitée du capitalisme est en guerre contre la planète. Résumé: Le système économique est en guerre contre la planète. Le climat exige une diminution de l'utilisation des ressources, tandis que le capitalisme commande une croissance sans entrave. Pour éviter l'effondrement climatique, une transformation radicale de l'économie, au-delà de l'idéologie dominante, est nécessaire.	La nature, Le travail
361	KOYRÉ_Cosmos&Univers	Titre: La destruction du Cosmos et la géométrisation de l'espace. Thèse: La révolution scientifique détruit le Cosmos et géométrise l'espace. Résumé: La révolution scientifique a détruit le Cosmos (monde fini, ordonné, hiérarchisé) pour lui substituer un Univers indéfini, homogène et régi par les mêmes lois. Elle a aussi remplacé l'espace aristotélicien par l'espace euclidien, ce qui a entraîné un divorce entre le monde des valeurs et celui des faits.	La nature, La science, La vérité
362	KUNDERA_L'oubli	Titre: La toque de Clementis. Thèse: Le pouvoir utilise l'oubli pour réécrire l'histoire et effacer les individus. Résumé: L'histoire de Clementis, effacé d'une photographie historique après son exécution, illustre comment le pouvoir communiste manipule l'histoire pour éliminer ses opposants. L'oubli est un instrument politique pour réécrire le passé, ne laissant qu'une trace involontaire (la toque) de l'individu censuré.	L'État, La vérité, Le temps
363	LACAN_Inconscient&histoire	Titre: L'inconscient est le chapitre censuré de mon histoire. Thèse: L'inconscient est un chapitre de l'histoire du sujet censuré. Résumé: L'inconscient est le chapitre "censuré" de l'histoire du sujet, marqué par un blanc ou un mensonge. Sa vérité est néanmoins écrite ailleurs, notamment dans le corps (symptôme hystérique), les souvenirs d'enfance (archives), l'évolution sémantique et les traditions, rétablissant le sens altéré.	L'inconscient, La vérité
364	LAFARGUE_Travail&Paresse	Titre: L'éloge de la paresse contre le culte du travail. Thèse: L'excès de travail est un fléau, la paresse un droit. Résumé: L'auteur dénonce le travail excessif comme une plaie sociale. Il affirme que l'éthique de travail actuelle est perverse. Face aux moyens de production modernes, le travail doit être limité à trois heures par jour, devenant plaisir. Les ouvriers devraient consommer plutôt que surproduire.	Le bonheur, Le travail
365	LAGASNERIE_PMM_I_Fonctionnel&dysfonctionnel	Titre: Pratiques fonctionnelles et dysfonctionnelles (ou oppositionnelles). Thèse: Les pratiques doivent être jugées par leur contribution au système. Résumé: L'auteur propose de distinguer les pratiques intellectuelles "fonctionnelles" (qui perpétuent les systèmes de pouvoir) et "dysfonctionnelles" ou "oppositionnelles" (qui les combattent). Ce critère éthique et politique permet d'intégrer le monde dans la pensée et de réévaluer le rôle du producteur de biens symboliques.	L'État, La justice
366	LAGASNERIE_PMM_IV_1_Science-sociale&opposition	Titre: Sciences sociales et pratiques d’opposition. Thèse: La science sociale oppositionnelle déstabilise le monde et ses négativités. Résumé: La science sociale n'est pas nécessairement critique. Seule une pratique rigoureuse, ambitieuse, et qui déstabilise le monde en révélant sa fausseté peut être dite "oppositionnelle" ou "dysfonctionnelle". Le désengagement de la connaissance est un choix non éthique de collaboration avec le système.	La science, La vérité
367	LAGASNERIE_PMM_IV_2_Critique&opposition&système	Titre: Toute critique n'est pas oppositionnelle. Thèse: Toute critique systémique renforce le pouvoir qu'elle dénonce. Résumé: L'auteur met en garde contre la "critique systémique" qui renforce les systèmes qu'elle dénonce, même si elle est vraie et critique. L'exemple de la prison montre que la critique peut être "fonctionnelle". Une connaissance oppositionnelle doit penser en termes de système, de totalité (Adorno/Horkheimer), pour révéler le sens caché et la fonction objective du pouvoir.	L'État, La justice
368	LAGASNERIE_PMM_V_Penser&Système	Titre: La nécessité pour les sciences sociales de passer d'une pensée par objet à une pensée par système. Thèse: La pensée par système est essentielle pour une pratique radicale. Résumé: Pour être oppositionnelle, la pratique de connaissance doit penser en termes de totalité et de système, rompant avec la "pensée par objet". Se limiter à critiquer les inégalités ou les discriminations, c'est conserver le système. La pensée systématique est un prérequis contre le conformisme épistémologique et cognitif.	La science, La vérité
369	LAO-TSEU_Souplesse	Titre: Les qualités de souplesse et de faiblesse. Thèse: La souplesse, la faiblesse et le tendre sont les amis de la vie. Résumé: Les textes 76 et 78 du Tao-te king célèbrent la souplesse et la faiblesse (tendre et délicat) comme des qualités de la vie, opposées à la rigidité et la dureté (mort). L'eau, l'exemple de la souplesse et de la faiblesse, l'emporte sur le dur. Le sage ne fait pas usage de la force.	La nature, La vérité
370	LAPLACE_Déterminisme	Titre: Le déterminisme. Thèse: L'état de l'univers est entièrement déterminé par le passé. Résumé: L'état présent de l'univers est l'effet de son état antérieur et la cause de l'état futur. Une intelligence omnisciente (dite "démon de Laplace") pourrait, par l'analyse des forces et des situations, embrasser dans une formule unique les mouvements des corps et des atomes, rendant l'avenir présent.	La nature, La science, La vérité
371	LA-ROCHEFOUCAULD_Maximes	Titre: La fausseté des vertus. Thèse: La faiblesse humaine est dominée par l'intérêt et la peur. Résumé: Les maximes regroupées mettent en évidence la faiblesse humaine face à l'intérêt et aux passions. Elles décrivent l'inconstance de la volonté, la sincérité feinte dans les échanges mondains (conseils, louanges), la primauté de l'apparence dans l'établissement social, et l'hypocrisie de la vertu souvent déguisée.	La conscience, La vérité
372	LA-ROCHEFOUCAULD_Maximes_C	Titre: La fausseté des vertus (version courte). Thèse: La faiblesse humaine est dominée par l'intérêt et la peur. Résumé: Les maximes regroupées mettent en évidence la faiblesse humaine face à l'intérêt et aux passions. Elles décrivent l'inconstance de la volonté, la sincérité feinte dans les échanges mondains (conseils, louanges), la primauté de l'apparence dans l'établissement social, et l'hypocrisie de la vertu souvent déguisée.	La conscience, La vérité
373	LEIBNIZ_Penser-Calculer	Titre: L'erreur humaine. Thèse: Les erreurs humaines sont comme les erreurs de calcul. Résumé: Les erreurs humaines trouvent leur origine dans les manquements de l'attention ou de la mémoire, comme les erreurs de calcul. Le remède consiste à avancer lentement, à répéter, à vérifier les opérations et à garder son sang-froid. L'esprit doit rester maître de ses opérations, en conservant son pouvoir critique et son retour sur soi-même.	La conscience, La vérité
374	LÉOTARD_Éducation&Conspirationnisme	Titre: L'enseignant et le théoricien du complot. Thèse: Le conspirationnisme généralise le complot comme facteur historique déterminant. Résumé: Le conspirationnisme généralise le complot à toute l'histoire. Son discours est un « millefeuille argumentatif » (produit fortéen), logiquement irréfutable par son agrégation de faits sans liens. Il vise la persuasion par la déstabilisation psychologique et l'exploitation de l'ignorance, et se caractérise par un hypercriticisme asymétrique envers les sources.	La conscience, La vérité
375	LÉPINARD-MAZOUZ_Pour l'intersectionnalité	Titre: Pour l'intersectionnalité. Thèse: L'intersectionnalité éclaire l'imbrication des dominations et des rapports de pouvoir. Résumé: L'intersectionnalité est un concept analysant l'imbrication des rapports de pouvoir (genre, race, classe). Souvent critiquée par ignorance, elle est essentielle pour comprendre les dominations et réaliser un universalisme concret, dépassant une vision communautariste.	La justice, La raison, La vérité
376	LÉVI-STRAUSS_AS_XV_systèmes-de-culture	Titre: L'appartenance de l'individu à de multiples systèmes de culture. Thèse: La culture est une notion relative à la recherche d'écarts significatifs. Résumé: La culture est un ensemble ethnographique défini par rapport aux écarts significatifs qu'il présente avec d'autres ensembles. La notion est objective mais fonctionnelle au type de recherche. Un individu appartient simultanément à plusieurs systèmes de culture.	Le langage, La nature, La science, Le temps
377	LÉVI-STRAUSS_AS_XVI_Anthropologie&diversité	Titre: L'anthropologie comme tentative de formulation de la diversité de l'humanité. Thèse: L'anthropologie vise les écarts différentiels entre les sociétés. Résumé: Le but de l'ethnologie n'est pas d'acquérir une connaissance complète de chaque société, mais de découvrir la façon dont elles diffèrent les unes des autres. Les écarts différentiels constituent l'objet propre de la discipline, comme en linguistique, permettant de comparer les formes voisines même si elles restent incomplètement analysées.	La nature, La science, La vérité
378	LÉVI-STRAUSS_RH_Ethnocentrisme	Titre: L'ethnocentrisme. Thèse: L'ethnocentrisme refuse la diversité culturelle en rejetant l'étranger. Résumé: L'ethnocentrisme est l'attitude qui consiste à répudier les formes culturelles éloignées des nôtres, comme le faisaient les Anciens avec le terme de « barbare » (chant inarticulé) ou les Occidentaux avec « sauvage » (vie animale). Ce jugement refuse la diversité culturelle en rejetant l'étranger hors de la culture.	Le langage, La nature, La vérité
379	LÉVI-STRAUSS_TT_Altérité&richesse-éventée	Titre: L'impossibilité de saisir pleinement l'altérité culturelle. Thèse: Le voyageur est prisonnier d'une double infirmité temporelle. Résumé: Le voyageur est confronté à un cercle infranchissable pour saisir l'altérité. Moins les cultures communiquaient, moins l'émissaire était capable de comprendre leur diversité. Le voyageur est soit ancien (confronté à un spectacle dont il ne saisit pas la richesse), soit moderne (courant après les vestiges d'une réalité disparue).	Le temps, La vérité
380	LOCKE_131_Bien-commun	Titre: Le Bien commun comme limite au pouvoir politique. Thèse: Le pouvoir législatif est limité par la conservation des propriétés et le bien public. Résumé: En entrant en société, les individus remettent leur pouvoir pour mieux conserver leurs personnes, libertés et propriétés. Le pouvoir législatif est ainsi limité au bien public. Il doit gouverner par des lois établies et connues, utiliser la force seulement pour l'exécution des lois, et n'avoir d'autre fin que la tranquillité, la sûreté et le bien du peuple.	L'État, La justice
381	LOCKE_232_Droit-résistance	Titre: Le droit de résistance à un État qui outrepasse le Bien commun. Thèse: L'usage de la force sans droit crée un état de guerre. Résumé: Celui qui emploie la force sans droit se met en état de guerre avec ceux contre qui il l'utilise, rompant tous les liens précédents. Cela confère le droit de se défendre et de résister à l'agresseur. Par conséquent, toute résistance n'est pas une rébellion, et l'on peut légitimement résister au prince dans certains cas.	L'État, La justice
382	LOCKE_Animaux&maltraitance	Titre: L’homme face à la souffrance animale. Thèse: La cruauté envers les êtres vivants est une disposition acquise, non naturelle. Résumé: La cruauté enfantine envers les animaux, bien qu'observée, n'est pas naturelle. Elle est une disposition acquise par l'exemple et la société qui glorifie la violence. Il est primordial d'éduquer les enfants à la compassion dès le berceau pour développer leur bonté innée.	La conscience, Le devoir, La nature
383	LOCKE_BIBLE_DDHC_Propriété&sacralisation	Titre: Le droit de propriété. Thèse: Le travail fonde le droit de propriété, un droit sacré et inviolable. Résumé: Dieu a donné la terre en commun, mais le travail de l'homme sur la nature légitime l'appropriation individuelle, rendant la propriété « inviolable et sacrée ». Le droit de propriété est un droit naturel, selon Locke et la DDHC.	L'État, La religion, Le travail
384	LOCKE_Identité&Identité-personnelle	Titre: L'identité et l'identité personnelle. Thèse: L'identité personnelle est la continuité de la conscience réflexive. Résumé: L'identité d'un corps se fonde sur ses particules ou sa vie continue. L'identité.	La conscience, La raison, Le temps
385	LOCKE_Langage&Expérience-sensible	Titre: Langage et expérience sensible. Thèse: Les idées simples proviennent uniquement de l'expérience sensible, pas du langage. Résumé: Les idées simples naissent d'impressions sensorielles directes, non des mots. Le langage ne peut transmettre ces idées ni remplacer l'expérience. Tenter de comprendre une idée simple par seule définition est vain, comme pour un aveugle la couleur.	La conscience, Le langage, La vérité
386	LUCRÈCE_Clinamen&Liberté	Titre: Le clinamen comme justification du libre arbitre. Thèse: La déviation atomique (clinamen) fonde la liberté de l'homme. Résumé: Le clinamen, une légère déviation imprévisible des atomes, rompt la chaîne inflexible des causes et des effets. Cette propriété atomique est la cause motrice qui permet l'existence de la volonté et du libre arbitre chez l'homme.	La liberté, La nature
387	MACHIAVEL_Crainte&Haine	Titre: Être craint mais pas haï. Thèse: Mieux vaut être craint que aimé pour assurer l'autorité. Résumé: Les hommes sont ingrats et changeants ; l'amour est un lien d'obligation facilement rompu par l'intérêt personnel. La crainte est plus sûre car elle est maintenue par la peur du châtiment. Le prince doit se faire craindre, mais éviter la haine en respectant les biens.	L'État, La liberté
388	MALHERBE_Alzheimer	Titre: L’autre mon semblable. Thèse: La maladie d'Alzheimer transforme l'autre en une étrangère. Résumé: La maladie d'Alzheimer brouille l'image de l'autre et met fin à la vie commune faite de réciprocité. Le proche aidé devient une autre, nécessitant une vigilance et un soin constant, ce qui mène souvent à l'épuisement et à la décision douloureuse du placement.	La conscience, Le temps
389	MARX_Argent&Acheter	Titre: La puissance de l'argent. Thèse: L'argent est la puissance aliénante qui définit l'individu. Résumé: L'argent est le moyen universel qui permet à son possesseur d'acquérir les qualités et les pouvoirs humains, annulant ses propres défauts. La puissance de l'argent est la force de son possesseur, ce qui prouve que l'argent est le lien de tous les liens.	La liberté
390	MARX_Regne-liberte	Titre: En manière de conclusion. Thèse: La liberté commence au-delà du travail nécessaire. Résumé: Le travail dicté par le besoin relève de la nécessité naturelle. Dans ce domaine, la liberté consiste à réguler rationnellement les échanges avec la nature. Mais la véritable liberté commence au-delà de la production matérielle, et sa condition fondamentale est la réduction de la journée de travail.	La liberté, La nature, La technique, Le travail
391	MARX_Travail&Aliénation	Titre: L'aliénation de l'ouvrier par le travail. Thèse: Plus il produit, plus l'ouvrier s'appauvrit et s'aliène. Résumé: La réalisation du travail sous forme de produit se transforme en aliénation. L'ouvrier met sa vie dans l'objet, qui lui devient une puissance hostile et étrangère. Plus il produit de marchandises, plus l'ouvrier se dévalorise et s'appauvrit.	La liberté, Le travail
392	MARX_Travail&Aliénation-1	Titre: L'aliénation du travail. Thèse: Le travail extérieur à l'ouvrier l'aliène et l'animalise. Résumé: Le travail aliéné est contraint, extérieur à l'ouvrier ; il le nie au lieu de l'affirmer. L'ouvrier ne se sent libre que dans ses fonctions animales, tandis que son travail, qui est sa fonction d'homme, le rend malheureux et le mortifie.	La liberté, Le travail
393	MARX_Travail&Émancipateur	Titre: Le travail émancipateur. Thèse: Le travail spécifiquement humain est conscient, finalisé et volontaire. Résumé: Le travail est d'abord une interaction avec la nature qui modifie l'homme. Ce qui distingue l'homme de l'animal est l'idéalisation du résultat dans sa tête avant l'exécution. C'est un acte conscient qui subordonne la volonté à un but.	La nature, Le travail
394	MARX_Travail&reconnaissance	Titre: Se sentir appartenir au genre humain par la reconnaissance d'autrui. Thèse: Le travail humain est un lieu de double affirmation individuelle et sociale. Résumé: L'individu se réalise en tant que personne particulière par son travail. Par la jouissance de son produit par autrui, il satisfait un besoin humain, est reconnu, et affirme ainsi sa sociabilité. C'est la médiation entre l'individu et le genre humain.	Le bonheur, Le travail
395	MAUSS_Don	Titre: Le don, le contre-don et le lien social. Thèse: L'échange dans les sociétés archaïques est une prestation totale obligatoire. Résumé: Dans les sociétés archaïques, l'échange est un acte entre collectivités, non entre individus. Il ne porte pas qu'exclusivement sur des biens, mais aussi sur des rites et des services. Ces prestations volontaires en apparence sont en réalité rigoureusement obligatoires.	La nature, La religion
396	MEAD-Margareth_Conditionnement-social	Titre: Conditionnement culturel et types d’individus. Thèse: La personnalité, y compris les traits de genre, est façonnée par la société. Résumé: Les caractéristiques dites masculines ou féminines sont largement, sinon totalement, le résultat du conditionnement social, comme l'illustrent les contrastes entre les Arapesh et les Mundugumor.	La nature
397	MILL_Bonheur&Recherche	Titre: Le paradoxe de la recherche du bonheur. Thèse: Le bonheur est trouvé indirectement en visant d'autres fins idéales. Résumé: Le bonheur est le critère de conduite et le but de la vie, mais il ne doit pas être recherché directement. Seuls sont heureux ceux qui se concentrent sur une fin extérieure (autrui, l'art, la recherche). Viser le bonheur directement le fait fuir.	Le bonheur
398	MILL_Dédicace	Titre: Dédicace de John Stuart Mill à sa femme Harriet Taylor Mill. Thèse: Harriet Taylor Mill est la source d'inspiration et de sagesse des écrits de Mill. Résumé: Mill dédie son volume à la mémoire de sa femme, Harriet Taylor Mill, qu'il considère comme l'inspiratrice et l'auteure partielle de ce qu'il y a de bon dans ses écrits. Son approbation et sa sagesse presque inégalée ont été son principal stimulant.	La vérité
399	MILL_Jugement&Confiance&Sagesse	Titre: Le jugement digne de confiance est conquis de haute lutte. Thèse: Un jugement fiable exige une ouverture constante à la critique. Résumé: Un jugement digne de confiance est acquis par l'habitude d'écouter les critiques et les opinions variées pour corriger et compléter sa propre vue. L'homme sage qui a suivi ce processus de confrontation a le droit de considérer son jugement comme supérieur.	La raison, La vérité
400	MILL_Justice&Libéralisme&Socialisme	Titre: Le problème de la justice sociale. Thèse: Le principe de la justice est arbitraire ; l'utilité sociale tranche. Résumé: Deux principes de justice s'affrontent : l'un privilégie le mérite basé sur l'effort, l'autre la compensation pour l'inégalité des talents. Ces principes sont irréfutables et leur opposition ne peut être résolue que par le critère de l'utilité sociale.	La justice, La liberté
401	MILL_Plaisir&quantité&qualité	Titre: Distinction entre la quantité et la qualité du plaisir. Thèse: La qualité des plaisirs l'emporte sur la quantité par la préférence des compétents. Résumé: La qualité d'un plaisir est jugée par la préférence de ceux qui ont l'expérience des deux. Les êtres humains qui sollicitent leurs facultés supérieures préfèrent une vie avec moins de satisfaction que celle d'un être inférieur, affirmant la supériorité qualitative.	Le bonheur
402	MILL_Satisfaction&Bonheur	Titre: Distinction entre la satisfaction et le bonheur. Thèse: Le bonheur supérieur peut être imparfait, la satisfaction inférieure est complète. Résumé: Il ne faut pas confondre le bonheur et la satisfaction. L'être aux facultés de jouissance inférieures a plus de chances d'être pleinement satisfait, tandis que l'être supérieur vise un bonheur imparfait. Mieux vaut être Socrate insatisfait qu'un imbécile satisfait.	Le bonheur
403	MIRBEAU_Artiste&Honneurs	Titre: L’artiste et les honneurs. Thèse: Les honneurs officiels avilissent le génie véritable de l'artiste. Résumé: L'auteur critique l'attribution de décorations aux artistes de génie comme Rodin, estimant que ces honneurs sont dérisoires et entachent l'idéal de l'art. Il suggère de donner des travaux publics plutôt que des récompenses illusoires, car le génie est déjà une souffrance et un émerveillement en contact avec la Nature.	L'art, La nature, Le travail
404	MONTAIGNE_Animaux&Orgueil	Titre: L’orgueil mal placé de l’homme face aux animaux. Thèse: L'Homme ne surpasse pas les animaux, il souffre d'orgueil démesuré. Résumé: Montaigne dénonce l'orgueil de l'Homme qui se croit supérieur aux animaux, leur attribuant bêtise et absence de raison. Il affirme une parité entre l'homme et l'animal, soulignant que les animaux.	L'art, Le langage, La nature, La raison
405	MONTAIGNE_Vérité&témoignage	Titre: La vérité du témoignage. Thèse: Les gens simples sont plus fiables pour témoigner que les fins. Résumé: Les personnes simples et grossières sont plus aptes à rendre un véritable témoignage, car elles ne cherchent pas à interpréter ou embellir l'histoire. Les "fines gens", par contre, altèrent la réalité pour mettre en valeur leur propre jugement et leurs inventions.	La conscience, La vérité
406	MONTESQUIEU_Doux-Commerce	Titre: Le doux commerce. Thèse: Le commerce favorise la paix entre nations mais affaiblit la morale des particuliers. Résumé: Le commerce porte naturellement à la paix en créant une dépendance mutuelle entre nations. Cependant, il ne produit qu'un sentiment de justice exacte chez les particuliers, opposé aux vertus morales comme l'hospitalité, et mène à trafiquer de toutes les actions et vertus humaines.	L'État, La justice
407	MORICE-Juliette_Chap10_Voyage&Tourisme	Titre: Du mépris à la haine de soi : tourisme et mélancolie. Thèse: Le tourisme masque une haine de soi et dégrade les lieux. Résumé: Le texte analyse le dédain du tourisme comme une haine de soi. Il expose les impacts délétères du tourisme de masse sur les sites et cultures, posant des dilemmes moraux. Il souligne son lien avec un culte fétichiste de l'image et des choses, au détriment de l'expérience authentique.	La conscience, Le devoir, L'inconscient, La justice, La nature
408	MORICE-Juliette_Chap11_Voyage&Exotisme	Titre: Dedans-dehors : apories de l'exotisme. Thèse: L'exotisme, notion relative, rend problématique la connaissance de l'altérité. Résumé: Le texte explore l'équivocité de l'exotisme, notion relative et subjective entre concept et affect. Il absolutise le relatif, posant un problème épistémologique : connaître l'autre sans le réduire ou l'isoler. L'exotisme entrave la compréhension objective de l'altérité.	La conscience, La raison, La vérité
409	MOUY-Paul_Démonstration&Nécessité&Vérité	Titre: Qu'est-ce que démontrer ?. Thèse: La démonstration rend nécessaire, transformant la fatalité en obligation de l'esprit. Résumé: Démontrer, c'est rendre nécessaire une idée. La nécessité, autrefois vue comme une fatalité extérieure et aveugle (Ananké), est transformée par la démonstration mathématique en une obligation interne, rationnelle, et constitue une valeur intellectuelle de l'esprit.	La raison, La science
410	NAGEL_Justice-sociale_F	Titre: La justice sociale. Thèse: Les inégalités non délibérées sont injustes et doivent être compensées par l'État. Résumé: L'auteur distingue les inégalités délibérées (discrimination) des non délibérées (origine, milieu social, talent). Pour les secondes, l'État peut soit abolir l'économie concurrentielle, soit compenser par une intervention indirecte (impôt progressif, redistribution sociale) pour ne pas nuire à la liberté individuelle.	La justice, L'État
411	NAGEL_Libre-arbitre	Titre: Le problème du libre arbitre. Thèse: Le concept de libre arbitre mène à une impasse, déterminé ou non. Résumé: L'idée que l'on aurait pu choisir un fruit plutôt qu'un gâteau au chocolat postule que ce choix n'est pas déterminé d'avance. Cependant, si l'action n'est pas déterminée par nos désirs ou notre personnalité, elle n'est pas "nôtre". L'auteur conclut à une impasse sur la responsabilité.	La conscience, La raison
412	NAGEL_Libre-arbitre_C	Titre: Le problème du libre arbitre. Thèse: Le concept de libre arbitre mène à une impasse, déterminé ou non. Résumé: L'idée que l'on aurait pu choisir un fruit plutôt qu'un gâteau au chocolat postule que ce choix n'est pas déterminé d'avance. Cependant, si l'action n'est pas déterminée par nos désirs ou notre personnalité, elle n'est pas "nôtre". L'auteur conclut à une impasse sur la responsabilité.	La conscience, La raison
413	NEWTON_Preuve&physico-théologique	Titre: Existence de Dieu: Preuve physico-théologique. Thèse: L'ordre admirable du système solaire prouve l'existence d'un Être tout-puissant. Résumé: Newton postule que l'arrangement admirable et ordonné du Soleil, des planètes et des comètes est nécessairement l'oeuvre d'un Être tout-puissant et intelligent. Cet Être infini, Seigneur de toutes choses, a également éloigné les étoiles fixes pour éviter leur chute par gravité.	La religion, La science
414	NIETZSCHE_A_102_Intention&erreur	Titre: Les plus anciens juements moraux. Thèse: Les jugements moraux dérivent de l'utilité ou de la nuisance personnelle. Résumé: Le jugement moral initial est une triple erreur: on confond le résultat d'une action pour soi avec l'intention de l'auteur, et on fait de cette intention une propriété permanente. L'origine de la morale est l'idée que ce qui nuit est mauvais en soi et ce qui est utile est bon en soi, une présomption égoïste.	La conscience, La vérité
415	NIETZSCHE_A_105_Fantome-Ego	Titre: L’égoïsme apparent. Thèse: Les hommes vivent pour l'image sociale, pas pour leur vrai ego. Résumé: Les hommes ne vivent pas pour leur propre ego, mais pour l'image qu'ils croient que les autres ont d'eux. Ils sont pris dans un "brouillard d'opinions" et d'évaluations impersonnelles. Cette illusion collective sur "l'Homme" est puissante car les individus n'ont pas d'ego véritable à lui opposer.	La conscience, La liberté, La raison, La vérité
416	NIETZSCHE_A_109_Combattre-les-pulsions-violentes	Titre: Comment combattre la violence d'une pulsion ?. Thèse: La lutte contre une pulsion est le combat d'une autre pulsion rivale. Résumé: Six méthodes permettent de combattre une pulsion (esquive, régularisation, dégoût, association pénible, dislocation des forces, épuisement généralisé). Cependant, l'intellect est l'instrument aveugle d'une pulsion rivale. Croire lutter contre une pulsion, c'est en réalité une pulsion qui se plaint d'une autre.	La conscience, L'inconscient, La liberté
417	NIETZSCHE_A_129_Motifs&Consequences	Titre: Le prétendu combat des motifs. Thèse: Le vrai combat des motifs est inconscient, non la comparaison des conséquences. Résumé: Le prétendu "combat des motifs" conscient est une confusion avec la comparaison des conséquences des actions. Le vrai combat, totalement invisible et inconscient, se déroule entre nos forces habituelles, les influences extérieures, la paresse, l'humeur ou les affects. Le motif.	La conscience, L'inconscient, La liberté
418	NIETZSCHE_A_15_Consolation&souffrance	Titre: La consolation. Thèse: La consolation face au malheur évolue de la vengeance au châtiment. Résumé: Les hommes trouvent consolation dans le malheur en deux étapes. D'abord, en faisant souffrir autrui pour affirmer leur puissance restante. Ensuite, en considérant la mésaventure comme un châtiment, une expiation de faute, ce qui les libère du besoin de faire souffrir un autre.	Le bonheur, La justice
419	NIETZSCHE_A_330_Sagess&éloquence	Titre: L'importance d'associer la sagesse et de l'éloquence. Thèse: Prouver la sagesse ne suffit pas, il faut la rendre séduisante. Résumé: Pour être efficace, la sagesse ne doit pas seulement être prouvée, mais rendue séduisante ou accessible aux hommes. Celui qui sait doit apprendre à l'exprimer, même si cela doit prendre l'apparence de la folie, pour que celle-ci puisse exercer son influence.	Le langage, La vérité
420	NIETZSCHE_A_9_Moralité-des-moeurs	Titre: La moralité des moeurs. Thèse: La moralité n'est que l'obéissance aux coutumes reçues. Résumé: La morale se réduit à l'obéissance aux coutumes et principes établis, par peur de l'autorité supérieure et surnaturelle. L'homme libre et original est jugé "mauvais" car il dépend de lui-même et non de l'obéissance aux moeurs qui exigent le sacrifice de l'individu au profit de la communauté.	La conscience, La liberté
421	NIETZSCHE_Ac_53_Martyr&Vérité	Titre: Le martyr et la vérité. Thèse: Les martyrs n'ont rien à voir avec la vérité et lui nuisent. Résumé: Un martyr ne prouve rien sur la vérité d'une cause; son accent exprime un bas degré de probité intellectuelle. La mort des martyrs a entravé l'examen critique et conféré une "odeur de respectabilité" à des causes insignifiantes. La persécution donne à la cause adverse la "fascination du martyre".	La conscience, La vérité
422	NIETZSCHE_CI_S_11_Lutte-contre-instinct&décadence	Titre: La lutte contre les instincts comme décadence. Thèse: Lutter contre les instincts est le signe d'une décadence, non de la santé. Résumé: La lutte contre les instincts, comme celle prônée par la raison de Socrate ou la morale chrétienne, n'est qu'une nouvelle maladie, une expression de la décadence, non un retour à la santé. Quand la vie est ascendante, bonheur et instinct sont identiques; lutter contre eux est la formule de la décadence.	Le bonheur, La raison
423	NIETZSCHE_CIn_II_Histoires&vie	Titre: L'histoire n'est utile que dans la mesure où elle est utile à la vie. Thèse: L'histoire doit servir la vie, sinon elle dégénère. Résumé: L'histoire est utile uniquement si elle sert la vie et l'action, non l'inverse, car son excès ou son usage impropre corrompt l'existence. Elle se manifeste sous trois formes – monumentale, traditionaliste, critique – répondant aux besoins humains d'agir, conserver et se libérer, la forme monumentale inspirant la grandeur.	Le bonheur, La conscience, Le devoir, La liberté, Le temps
424	NIETZSCHE_Cin_II_Oubli&Bonheur	Titre: Le bonheur dans l'oubli. Thèse: L'oubli est essentiel au bonheur, l'homme est accablé par le passé. Résumé: L'animal vit dans le moment présent et connaît un bonheur que l'homme jalouse, car il est capable d'oublier. L'homme reste "sans cesse accroché au passé", accablé par son poids, qui fait de son existence "un imparfait à jamais imperfectible". Seule la mort apporte l'oubli total.	Le bonheur, Le temps
425	NIETZSCHE_CIn_III_§1_Unicité	Titre: Contre le conformisme moderne: assumer l'unicité de son existence. Thèse: L'homme doit assumer son unicité et cesser d'être paresseux. Résumé: Chaque homme est unique, mais la paresse et la peur du voisin le poussent à se cacher derrière le conformisme. Les artistes révèlent cette singularité. L'individu doit assumer la responsabilité de son existence et vivre selon sa propre loi, faisant de son bref temps un acte délibéré.	La conscience, Le temps
426	NIETZSCHE_GM_III_28_Idéal-ascétique&Souffrance	Titre: L'idéal ascétique donne sens à la souffrance. Thèse: L'idéal ascétique donne un sens à la souffrance humaine. Résumé: Sans l'idéal ascétique, l'existence humaine n'avait aucun sens, souffrant du "pourquoi de la souffrance". L'idéal ascétique interprète la souffrance (souvent comme faute), offrant ainsi un sens qui sauve l'homme du nihilisme. Cette "volonté" donne une direction à la vie, préférant le néant au non-vouloir.	La conscience
427	NIETZSCHE_GS_112_Cause&Effet	Titre: Les concepts de cause et d’effet comme fragmentations du continuum réel. Thèse: Cause et effet sont des descriptions arbitraires d'un continuum. Résumé: La science se contente de décrire, non d'expliquer, le devenir. Les notions de "cause" et d'"effet" sont des fragmentations arbitraires d'un continuum réel. Nous utilisons des fictions (atomes, lignes) pour créer une image humanisée du devenir, mais un intellect supérieur verrait le flux sans cause ni effet.	La science, La vérité
